exp_id,exp_name,test_case,run_no,date_iso8601,commit_hash,environment,input_desc,metric_name,metric_unit,expected_value,measured_value,pass_fail,status,notes
EXP-01,Correctness dan Rejection Vault Identitas,seal_unseal_roundtrip,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release, rust-version 1.89 (Cargo.toml)",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,"cargo test --release, 1 test binary run"
EXP-01,Correctness dan Rejection Vault Identitas,vault_looks_random,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-01,Correctness dan Rejection Vault Identitas,wrong_passphrase_returns_error,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,"nama test aktual berbeda dari perkiraan awal 12_TEST_PLAN.md (cli_unseal_wrong_passphrase) - test unit ini sudah ada di source, tidak perlu prosedur CLI manual"
EXP-01,Correctness dan Rejection Vault Identitas,tampered_vault_returns_error,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,"nama test aktual berbeda dari perkiraan awal (cli_unseal_modified_ciphertext) - test unit sudah ada, mencakup skenario modified-ciphertext rejection vault"
EXP-01,Correctness dan Rejection Vault Identitas,vault_has_no_magic_bytes,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,"test tambahan di luar daftar awal 12_TEST_PLAN.md, memverifikasi layout 108-byte tanpa magic bytes"
EXP-02,Correctness dan Rejection Handshake Noise_IK,handshake_ik_roundtrip,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-02,Correctness dan Rejection Handshake Noise_IK,transport_encrypt_decrypt_roundtrip,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-02,Correctness dan Rejection Handshake Noise_IK,wrong_peer_key_fails_handshake,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-02,Correctness dan Rejection Handshake Noise_IK,responder_verifies_initiator_identity,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-02,Correctness dan Rejection Handshake Noise_IK,responder_rejects_unknown_peer,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-02,Correctness dan Rejection Handshake Noise_IK,handshake_latency,,2026-07-26,3d22494,,,latensi_handshake,ms,,,,WAITING_FOR_EXPERIMENT,"belum diukur - test suite tidak menghasilkan timing, butuh instrumentasi terpisah (lihat 12_TEST_PLAN.md EXP-02 poin 8)"
EXP-03,Consistency Transport Sesi Terenkripsi,lan_session_message_roundtrip,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-03,Consistency Transport Sesi Terenkripsi,blur_toggle_roundtrip,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-03,Consistency Transport Sesi Terenkripsi,oversized_message_does_not_kill_session,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-03,Consistency Transport Sesi Terenkripsi,keepalive_ping_is_not_delivered_as_message,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-03,Consistency Transport Sesi Terenkripsi,frame_roundtrip+multiple_frames_in_order+oversized_payload_rejected+eof_returns_zero+read_frame_yang_dibatalkan_merusak_sinkronisasi_stream,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite (5 test transport::frame),pass_fail,pass_fail,pass,pass,pass,EXECUTED,"5 test digabung satu baris - seluruhnya pass"
EXP-03,Consistency Transport Sesi Terenkripsi,ciphertext_overhead,,2026-07-26,3d22494,,,overhead_tag,byte,16,,,WAITING_FOR_EXPERIMENT,"belum diukur - butuh sampel ukuran payload manual, tidak tercakup pass/fail cargo test"
EXP-04,Correctness Invite/Fingerprint/Contact Store,fingerprint_binds_both_keys,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-04,Correctness Invite/Fingerprint/Contact Store,fingerprint_is_64_hex_chars,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite,pass_fail,pass_fail,pass,pass,pass,EXECUTED,
EXP-04,Correctness Invite/Fingerprint/Contact Store,invite_has_no_obvious_prefix+invite_roundtrip_lan_only+invite_roundtrip_with_onion+invite_rejects_garbage+invite_rejects_wrong_length,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite (5 test invite),pass_fail,pass_fail,pass,pass,pass,EXECUTED,"5 test digabung satu baris - seluruhnya pass"
EXP-04,Correctness Invite/Fingerprint/Contact Store,contacts_save_load_roundtrip+contacts_load_missing_file_is_empty+contacts_wrong_key_fails,1,2026-07-26,3d22494,"Windows 11 10.0.26200, cargo test --release",cargo test suite (3 test contacts store),pass_fail,pass_fail,pass,pass,pass,EXECUTED,"3 test digabung satu baris - seluruhnya pass"
EXP-04,Correctness Invite/Fingerprint/Contact Store,invite_string_length,,2026-07-26,3d22494,,,panjang_invite,karakter,,,,WAITING_FOR_EXPERIMENT,"belum diukur - butuh sampel manual"
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_unlock_time,,2026-07-26,3d22494,,,waktu_unseal_mean,ms,,,,WAITING_FOR_EXPERIMENT,"TIDAK dijalankan sesi ini - butuh 30 cold-start run terpisah (12_TEST_PLAN.md EXP-05 poin 9), di luar kuota sesi yang tersisa"
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_ciphertext_size,,2026-07-26,3d22494,,,ukuran_vault,byte,108,,,WAITING_FOR_EXPERIMENT,"TIDAK dijalankan sesi ini"

# RINGKASAN: cargo test --release pada commit 3d22494 (2026-07-26) - 46/46 test PASS, 0 FAIL, 0 ignored, waktu eksekusi 0.13s (dilaporkan cargo).
# Mencakup PENUH correctness+rejection EXP-01 s.d. EXP-04 (seluruh test unit yang ada di source untuk keempat kelompok tersebut).
# EXP-02 (latensi handshake), EXP-03 (overhead ciphertext byte), EXP-04 (panjang invite), EXP-05 (benchmark Argon2id+ukuran vault)
# TIDAK dijalankan - membutuhkan instrumentasi/pengukuran manual tambahan di luar cargo test biasa, dan di luar kuota sesi ini.
