exp_id,exp_name,test_case,run_no,date_iso8601,commit_hash,environment,input_desc,metric_name,metric_unit,expected_value,measured_value,pass_fail,status,notes
EXP-01,Correctness dan Rejection Vault Identitas,seal_unseal_roundtrip,,,,,,proporsi_roundtrip_sukses,%,100,,,WAITING_FOR_EXPERIMENT,
EXP-01,Correctness dan Rejection Vault Identitas,vault_looks_random,,,,,,nonce_unik_per_seal,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-01,Correctness dan Rejection Vault Identitas,cli_unseal_wrong_passphrase,,,,,,proporsi_rejection_benar,%,100,,,WAITING_FOR_EXPERIMENT,
EXP-01,Correctness dan Rejection Vault Identitas,cli_unseal_modified_ciphertext,,,,,,proporsi_rejection_benar,%,100,,,WAITING_FOR_EXPERIMENT,
EXP-02,Correctness dan Rejection Handshake Noise_IK,handshake_ik_roundtrip,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-02,Correctness dan Rejection Handshake Noise_IK,transport_encrypt_decrypt_roundtrip,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-02,Correctness dan Rejection Handshake Noise_IK,wrong_peer_key_fails_handshake,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-02,Correctness dan Rejection Handshake Noise_IK,responder_rejects_unknown_peer,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-02,Correctness dan Rejection Handshake Noise_IK,handshake_latency,,,,,,latensi_handshake,ms,,,,WAITING_FOR_EXPERIMENT,
EXP-03,Consistency Transport Sesi Terenkripsi,lan_session_message_roundtrip,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-03,Consistency Transport Sesi Terenkripsi,oversized_message_does_not_kill_session,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-03,Consistency Transport Sesi Terenkripsi,keepalive_ping_is_not_delivered_as_message,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-03,Consistency Transport Sesi Terenkripsi,ciphertext_overhead,,,,,,overhead_tag,byte,16,,,WAITING_FOR_EXPERIMENT,
EXP-04,Correctness Invite/Fingerprint/Contact Store,fingerprint_binds_both_keys,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-04,Correctness Invite/Fingerprint/Contact Store,invite_roundtrip_lan_only,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-04,Correctness Invite/Fingerprint/Contact Store,contacts_save_load_roundtrip,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-04,Correctness Invite/Fingerprint/Contact Store,contacts_wrong_key_fails,,,,,,pass_fail,pass_fail,pass,,,WAITING_FOR_EXPERIMENT,
EXP-04,Correctness Invite/Fingerprint/Contact Store,invite_string_length,,,,,,panjang_invite,karakter,,,,WAITING_FOR_EXPERIMENT,
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_unlock_time,,,,,,waktu_unseal_mean,ms,,,,WAITING_FOR_EXPERIMENT,
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_unlock_time,,,,,,waktu_unseal_median,ms,,,,WAITING_FOR_EXPERIMENT,
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_unlock_time,,,,,,waktu_unseal_stdev,ms,,,,WAITING_FOR_EXPERIMENT,
EXP-05,Benchmark Argon2id dan Ciphertext Expansion,vault_ciphertext_size,,,,,,ukuran_vault,byte,108,,,WAITING_FOR_EXPERIMENT,
